qty,mfg,partnumber,value,description,designator,footprint,digikey
3,,,0.1u,,"C1 C9 C5",SMD0603,587-1258-1-ND
2,,,10u,,"C16 C15",CT6032,495-2285-1-ND
5,,,1u,,"C2 C14 C6 C10 C13",SMD0603,587-2400-1-ND
6,,,C-FKP16,,"C4 C12 C7 C8 C3 C11",EEV-FK-P16,338-2158-1-ND
96,,,XPGWHT,,"D19 D73 D92 D90 D71 D20 D86 D88 D65 D80 D29 D43 D34 D77 D14 D47 D32 D81 D63 D51 D89 D4 D52 D42 D64 D5 D17 D60 D68 D37 D76 D28 D53 D49 D46 D85 D41 D58 D66 D55 D23 D8 D21 D83 D3 D45 D93 D16 D11 D33 D7 D75 D78 D72 D18 D67 D87 D94 D27 D84 D2 D9 D59 D25 D50 D61 D1 D10 D62 D39 D69 D95 D91 D36 D22 D13 D24 D44 D38 D79 D56 D40 D15 D48 D54 D30 D35 D6 D82 D57 D31 D74 D70 D96 D12 D26",XLAMP_XP-G,XPGWHT-01-0000-00EE5CT-ND
6,,,AOD4184A,,"Q6 Q5 Q3 Q2 Q1 Q4",TO252,785-1221-1-ND
6,,,110,,"R2 R8 R12 R6 R4 R10",SMD0603,RHM110GCT-ND
6,,,0.01,,"R7 R1 R5 R9 R11 R3",3.2X1.6MM,MCS1632R010FERCT-ND
3,,,TC4427,,"U1 U2 U3",SOIC8,TC4427AEOA-ND
1,,,MC78MDT,,U4,TO252,MC78M12CDTGOS-ND
